scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,log_avg_wt,logWtAnalysis,griLump,domSize,lsRatiolog,lsRatio,rank,distEdgeGRI,fwd,bwd,distCongener,regionalCongener,lumpCongener,distNeighbor,activityBin
Pseudocheirus peregrinus,SC,0,1,B,900.0,900.0,Pseudocheirus,0,H,A,N,1,2.9542425094393248,2.9542425094393248,2.9542425094393248,3,smaller,0.0,1.0,31,0.0,3.037426497940624,2.8779469516291885,-Inf,1,1,0.0762955578101363,Nocturnal
Macrotis lagotis,SC,1,3,F,950.0,1350.0,Macrotis,1,A,ST,N,1,2.9777236052888476,3.130333768495006,2.9777236052888476,4,smaller,0.26531444339744664,1.8421052631578947,32,0.06832331845941653,3.1986570869544226,3.103803720955957,-Inf,1,1,0.026530047539049306,Nocturnal
Bettongia penicillata,SC,1,3,F,1125.0,1270.0,Bettongia,1,F,T,N,2,3.0511525224473814,3.103803720955957,3.0511525224473814,4,smaller,0.09960391741292779,1.2577777777777779,33,0.066377223015333,3.130333768495006,3.041392685158225,0.27129480824972063,2,1,0.062411035797731884,Nocturnal
Oryctolagus cuniculus,SC,0,3,F,1570.0,1580.0,Oryctolagus,1,H,ST,CR,1,3.1958996524092336,3.1986570869544226,3.1958996524092336,4,smaller,0.005497471911217745,1.0127388535031847,37,0.0,3.3979400086720375,3.130333768495006,-Inf,1,1,0.06832331845941653,Diurnal
Dasyurus maculatus,SC,1,1,F,2e3,2500.0,Dasyurus,1,A,T,N,3,3.3010299956639813,3.3979400086720375,3.3010299956639813,5,smaller,0.17609125905568124,1.5,40,0.0,3.4191293077419758,3.1986570869544226,0.3565473235138126,3,1,0.19928292171761486,Nocturnal
Trichosurus vulpecula,SC,0,3,F,2350.0,2625.0,Trichosurus,1,H,A,N,1,3.3710678622717363,3.4191293077419758,3.3710678622717363,5,smaller,0.09133013562721982,1.2340425531914894,41,0.021189299069938272,3.525044807036845,3.3979400086720375,-Inf,1,1,0.021189299069938272,Nocturnal
Lepus europaeus,SC,0,3,F,3500.0,3350.0,Lepus,1,H,ST,N,1,3.5440680443502757,3.525044807036845,3.5440680443502757,5,larger,0.03891806603036966,1.09375,45,0.0,3.6532125137753435,3.4191293077419758,-Inf,1,1,0.10591549929486943,Nocturnal
Felis catus,SC,0,3,F,3750.0,4550.0,Felis,1,A,T,N,1,3.574031267727719,3.6580113966571126,3.574031267727719,6,smaller,0.15432251429350963,1.4266666666666667,46,0.0047988828817691065,3.7745169657285498,3.6532125137753435,-Inf,1,1,0.0047988828817691065,Nocturnal
Tachyglossus aculeatus,SC,0,3,B,4500.0,4500.0,Tachyglossus,0,A,ST,N,1,3.6532125137753435,3.6532125137753435,3.6532125137753435,6,smaller,0.0,1.0,47,0.0,3.6580113966571126,3.525044807036845,-Inf,1,1,0.1281677067384983,Nocturnal
Vulpes vulpes,SC,0,3,F,5400.0,5950.0,Vulpes,1,A,T,N,1,3.7323937598229686,3.7745169657285498,3.7323937598229686,6,smaller,0.08051959681988707,1.2037037037037037,49,0.03839639091430591,3.8129133566428557,3.6580113966571126,-Inf,1,1,0.11650556907143717,Nocturnal
Macropus eugenii,SC,1,3,F,5500.0,6500.0,Macropus,1,H,T,N,4,3.7403626894942437,3.8129133566428557,3.7403626894942437,6,smaller,0.13469857389745618,1.3636363636363635,50,0.0,3.929418925714293,3.7745169657285498,-0.591492694278414,4,1,0.03839639091430591,Nocturnal
Petrogale xanthopus,SC,0,2,B,8500.0,8500.0,Petrogale,0,H,T,N,1,3.929418925714293,3.929418925714293,3.929418925714293,7,smaller,0.0,1.0,53,0.0,4.010723865391773,3.8129133566428557,-Inf,1,1,0.11650556907143717,Nocturnal
Phascolarctos cinereus,SC,1,1,F,8500.0,10250.0,Phascolarctos,1,H,A,N,1,3.929418925714293,4.010723865391773,3.929418925714293,7,smaller,0.14976232033333212,1.411764705882353,54,0.08130493967748009,4.146128035678238,3.929418925714293,-Inf,1,1,0.08130493967748009,Nocturnal
Canis lupus,SC,1,3,F,13e3,14e3,Canis,1,A,T,N,1,4.113943352306837,4.146128035678238,4.113943352306837,7,smaller,0.062147906748844434,1.1538461538461537,56,0.0,4.40440605092127,4.010723865391773,-Inf,1,1,0.13540417028646523,Nocturnal
Macropus robustus,SC,0,3,F,17125.0,25375.0,Macropus,1,H,T,N,4,4.233630580164463,4.40440605092127,4.233630580164463,8,smaller,0.2930317128460012,1.9635036496350364,58,0.0,4.433369746856586,4.146128035678238,0.591492694278414,4,3,0.2582780152430315,Nocturnal
Macropus rufus,SC,0,3,F,25e3,4e4,Macropus,1,H,T,N,4,4.3979400086720375,4.6020599913279625,4.3979400086720375,8,smaller,0.3424226808222063,2.2,59,0.0,4.799340549453582,4.562292864456475,0.03976712687148787,4,3,0.03976712687148787,Nocturnal
Lasiorhinus latifrons,SC,0,1,F,26750.0,27125.0,Lasiorhinus,1,H,ST,N,1,4.427323786357247,4.433369746856586,4.427323786357247,8,smaller,0.012008907473015354,1.02803738317757,60,0.028963695935316558,4.525044807036846,4.40440605092127,-Inf,1,1,0.028963695935316558,Nocturnal
Capra hircus,SC,0,2,F,27e3,33500.0,Capra,1,H,T,D,1,4.431363764158987,4.525044807036846,4.431363764158987,8,smaller,0.17069622716897506,1.4814814814814814,61,0.12063875611557595,4.562292864456475,4.433369746856586,-Inf,1,1,0.0916750601802594,Diurnal
Macropus fuliginosus,SC,0,3,F,28e3,36500.0,Macropus,1,H,T,N,4,4.447158031342219,4.562292864456475,4.447158031342219,8,smaller,0.20605448243312446,1.6071428571428572,63,0.03976712687148787,4.6020599913279625,4.525044807036846,0.15788681353520495,4,3,0.037248057419629,Nocturnal
Dama dama,SC,0,2,F,46e3,63e3,Dama,1,H,T,CR,1,4.662757831681574,4.799340549453582,4.662757831681574,9,smaller,0.2403321553103695,1.7391304347826086,67,0.0,4.935759103745312,4.6020599913279625,-Inf,1,1,0.19728055812561962,Diurnal
Sus scrofa,SC,0,1,F,67500.0,86250.0,Sus,1,F,T,N,1,4.829303772831025,4.935759103745312,4.829303772831025,9,smaller,0.19188552623891317,1.5555555555555556,69,0.13641855429172978,5.077367905284157,4.799340549453582,-Inf,1,1,0.13641855429172978,Nocturnal
Cervus elaphus,SC,0,1,F,92e3,119500.0,Cervus,1,H,T,CR,1,4.963787827345556,5.077367905284157,4.963787827345556,9,smaller,0.20352950740262082,1.5978260869565217,71,0.0,NA,4.935759103745312,-Inf,1,1,0.1416088015388448,Diurnal
